Country,Region,State,Territory,City
India,North,Andaman and Nicobar Islands,T1,Port Blair
India,North,Andhra Pradesh,T2,Visakhapatnam
India,North,Andhra Pradesh,T2,Vijayawada
India,North,Andhra Pradesh,T2,Guntur
India,North,Andhra Pradesh,T2,Nellore
India,North,Andhra Pradesh,T2,Kurnool
India,North,Andhra Pradesh,T2,Rajahmundry
India,North,Andhra Pradesh,T2,Kakinada
India,North,Andhra Pradesh,T2,Tirupati
India,North,Andhra Pradesh,T2,Anantapur
India,North,Andhra Pradesh,T2,Kadapa
India,North,Andhra Pradesh,T2,Vizianagaram
India,North,Andhra Pradesh,T2,Eluru
India,North,Andhra Pradesh,T2,Ongole
India,North,Andhra Pradesh,T2,Nandyal
India,North,Andhra Pradesh,T2,Machilipatnam
India,North,Andhra Pradesh,T2,Adoni
India,North,Andhra Pradesh,T2,Tenali
India,North,Andhra Pradesh,T2,Chittoor
India,North,Andhra Pradesh,T2,Hindupur
India,North,Andhra Pradesh,T2,Proddatur
India,North,Andhra Pradesh,T2,Bhimavaram
India,North,Andhra Pradesh,T2,Madanapalle
India,North,Andhra Pradesh,T2,Guntakal
India,North,Andhra Pradesh,T2,Dharmavaram
India,North,Andhra Pradesh,T2,Gudivada
India,North,Andhra Pradesh,T2,Srikakulam
India,North,Andhra Pradesh,T2,Narasaraopet
India,North,Andhra Pradesh,T2,Rajampet
India,North,Andhra Pradesh,T2,Tadpatri
India,North,Andhra Pradesh,T2,Tadepalligudem
India,North,Andhra Pradesh,T2,Chilakaluripet
India,North,Andhra Pradesh,T2,Yemmiganur
India,North,Andhra Pradesh,T2,Kadiri
India,North,Andhra Pradesh,T2,Chirala
India,North,Andhra Pradesh,T2,Anakapalle
India,North,Andhra Pradesh,T2,Kavali
India,North,Andhra Pradesh,T2,Palacole
India,North,Andhra Pradesh,T2,Sullurpeta
India,North,Andhra Pradesh,T2,Tanuku
India,North,Andhra Pradesh,T2,Rayachoti
India,North,Andhra Pradesh,T2,Srikalahasti
India,North,Andhra Pradesh,T2,Bapatla
India,North,Andhra Pradesh,T2,Naidupet
India,North,Andhra Pradesh,T2,Nagari
India,North,Andhra Pradesh,T2,Gudur
India,North,Andhra Pradesh,T2,Vinukonda
India,North,Andhra Pradesh,T2,Narasapuram
India,North,Andhra Pradesh,T2,Nuzvid
India,North,Andhra Pradesh,T2,Markapur
India,North,Andhra Pradesh,T2,Ponnur
India,North,Andhra Pradesh,T2,Kandukur
India,North,Andhra Pradesh,T2,Bobbili
India,North,Andhra Pradesh,T2,Rayadurg
India,North,Andhra Pradesh,T2,Samalkot
India,North,Andhra Pradesh,T2,Jaggaiahpet
India,North,Andhra Pradesh,T2,Tuni
India,North,Andhra Pradesh,T2,Amalapuram
India,North,Andhra Pradesh,T2,Bheemunipatnam
India,North,Andhra Pradesh,T2,Venkatagiri
India,North,Andhra Pradesh,T2,Sattenapalle
India,North,Andhra Pradesh,T2,Pithapuram
India,North,Andhra Pradesh,T2,Palasa Kasibugga
India,North,Andhra Pradesh,T2,Parvathipuram
India,North,Andhra Pradesh,T2,Macherla
India,North,Andhra Pradesh,T2,Gooty
India,North,Andhra Pradesh,T2,Salur
India,North,Andhra Pradesh,T2,Mandapeta
India,North,Andhra Pradesh,T2,Jammalamadugu
India,North,Andhra Pradesh,T2,Peddapuram
India,North,Andhra Pradesh,T2,Punganur
India,North,Andhra Pradesh,T2,Nidadavole
India,North,Andhra Pradesh,T2,Repalle
India,North,Andhra Pradesh,T2,Ramachandrapuram
India,North,Andhra Pradesh,T2,Kovvur
India,North,Andhra Pradesh,T2,Tiruvuru
India,North,Andhra Pradesh,T2,Uravakonda
India,North,Andhra Pradesh,T2,Narsipatnam
India,North,Andhra Pradesh,T2,Yerraguntla
India,North,Andhra Pradesh,T2,Pedana
India,North,Andhra Pradesh,T2,Puttur
India,North,Andhra Pradesh,T2,Renigunta
India,North,Andhra Pradesh,T2,Rajam
India,North,Andhra Pradesh,T2,Srisailam Project (Right Flank Colony) Township
India,North,Arunachal Pradesh,T3,Naharlagun
India,North,Arunachal Pradesh,T3,Pasighat
India,North,Assam,T4,Guwahati
India,North,Assam,T4,Silchar
India,North,Assam,T4,Dibrugarh
India,North,Assam,T4,Nagaon
India,North,Assam,T4,Tinsukia
India,North,Assam,T4,Jorhat
India,North,Assam,T4,Bongaigaon City
India,North,Assam,T4,Dhubri
India,North,Assam,T4,Diphu
India,North,Assam,T4,North Lakhimpur
India,North,Assam,T4,Tezpur
India,North,Assam,T4,Karimganj
India,North,Assam,T4,Sibsagar
India,North,Assam,T4,Goalpara
India,North,Assam,T4,Barpeta
India,North,Assam,T4,Lanka
India,North,Assam,T4,Lumding
India,North,Assam,T4,Mankachar
India,North,Assam,T4,Nalbari
India,North,Assam,T4,Rangia
India,North,Assam,T4,Margherita
India,North,Assam,T4,Mangaldoi
India,North,Assam,T4,Silapathar
India,North,Assam,T4,Mariani
India,North,Assam,T4,Marigaon
India,North,Bihar,T5,Patna
India,North,Bihar,T5,Gaya
India,North,Bihar,T5,Bhagalpur
India,North,Bihar,T5,Muzaffarpur
India,North,Bihar,T5,Darbhanga
India,North,Bihar,T5,Arrah
India,North,Bihar,T5,Begusarai
India,North,Bihar,T5,Chhapra
India,North,Bihar,T5,Katihar
India,North,Bihar,T5,Munger
India,North,Bihar,T5,Purnia
India,North,Bihar,T5,Saharsa
India,North,Bihar,T5,Sasaram
India,North,Bihar,T5,Hajipur
India,North,Bihar,T5,Dehri-on-Sone
India,North,Bihar,T5,Bettiah
India,North,Bihar,T5,Motihari
India,North,Bihar,T5,Bagaha
India,North,Bihar,T5,Siwan
India,North,Bihar,T5,Kishanganj
India,North,Bihar,T5,Jamalpur
India,North,Bihar,T5,Buxar
India,North,Bihar,T5,Jehanabad
India,North,Bihar,T5,Aurangabad
India,North,Bihar,T5,Lakhisarai
India,North,Bihar,T5,Nawada
India,North,Bihar,T5,Jamui
India,North,Bihar,T5,Sitamarhi
India,North,Bihar,T5,Araria
India,North,Bihar,T5,Gopalganj
India,North,Bihar,T5,Madhubani
India,North,Bihar,T5,Masaurhi
India,North,Bihar,T5,Samastipur
India,North,Bihar,T5,Mokameh
India,North,Bihar,T5,Supaul
India,North,Bihar,T5,Dumraon
India,North,Bihar,T5,Arwal
India,North,Bihar,T5,Forbesganj
India,North,Bihar,T5,BhabUrban Agglomeration
India,North,Bihar,T5,Narkatiaganj
India,North,Bihar,T5,Naugachhia
India,North,Bihar,T5,Madhepura
India,North,Bihar,T5,Sheikhpura
India,North,Bihar,T5,Sultanganj
India,North,Bihar,T5,Raxaul Bazar
India,North,Bihar,T5,Ramnagar
India,North,Bihar,T5,Mahnar Bazar
India,North,Bihar,T5,Warisaliganj
India,North,Bihar,T5,Revelganj
India,North,Bihar,T5,Rajgir
India,North,Bihar,T5,Sonepur
India,North,Bihar,T5,Sherghati
India,North,Bihar,T5,Sugauli
India,North,Bihar,T5,Makhdumpur
India,North,Bihar,T5,Maner
India,North,Bihar,T5,Rosera
India,North,Bihar,T5,Nokha
India,North,Bihar,T5,Piro
India,North,Bihar,T5,Rafiganj
India,North,Bihar,T5,Marhaura
India,North,Bihar,T5,Mirganj
India,North,Bihar,T5,Lalganj
India,North,Bihar,T5,Murliganj
India,North,Bihar,T5,Motipur
India,North,Bihar,T5,Manihari
India,North,Bihar,T5,Sheohar
India,North,Bihar,T5,Maharajganj
India,North,Bihar,T5,Silao
India,North,Bihar,T5,Barh
India,North,Bihar,T5,Asarganj
India,North,Chandigarh,T6,Chandigarh
India,North,Chhattisgarh,T7,Raipur
India,North,Chhattisgarh,T7,Bhilai Nagar
India,North,Chhattisgarh,T7,Korba
India,North,Chhattisgarh,T7,Bilaspur
India,North,Chhattisgarh,T7,Durg
India,North,Chhattisgarh,T7,Rajnandgaon
India,North,Chhattisgarh,T7,Jagdalpur
India,North,Chhattisgarh,T7,Raigarh
India,North,Chhattisgarh,T7,Ambikapur
India,North,Chhattisgarh,T7,Mahasamund
India,North,Chhattisgarh,T7,Dhamtari
India,North,Chhattisgarh,T7,Chirmiri
India,North,Chhattisgarh,T7,Bhatapara
India,North,Chhattisgarh,T7,Dalli-Rajhara
India,North,Chhattisgarh,T7,Naila Janjgir
India,North,Chhattisgarh,T7,Tilda Newra
India,North,Chhattisgarh,T7,Mungeli
India,North,Chhattisgarh,T7,Manendragarh
India,North,Chhattisgarh,T7,Sakti
India,North,Dadra and Nagar Haveli,T8,Silvassa
India,North,Delhi,T9,New Delhi
India,North,Goa,T10,Marmagao
India,North,Goa,T10,Panaji
India,North,Goa,T10,Margao
India,North,Goa,T10,Mapusa
India,North,Gujarat,T11,Ahmedabad
India,North,Gujarat,T11,Surat
India,North,Gujarat,T11,Vadodara
India,North,Gujarat,T11,Rajkot
India,North,Gujarat,T11,Bhavnagar
India,North,Gujarat,T11,Jamnagar
India,North,Gujarat,T11,Nadiad
India,North,Gujarat,T11,Porbandar
India,North,Gujarat,T11,Anand
India,North,Gujarat,T11,Morvi
India,North,Gujarat,T11,Mahesana
India,North,Gujarat,T11,Bharuch
India,North,Gujarat,T11,Vapi
India,North,Gujarat,T11,Navsari
India,North,Gujarat,T11,Veraval
India,North,Gujarat,T11,Bhuj
India,North,Gujarat,T11,Godhra
India,North,Gujarat,T11,Palanpur
India,North,Gujarat,T11,Valsad
India,North,Gujarat,T11,Patan
India,North,Gujarat,T11,Deesa
India,North,Gujarat,T11,Amreli
India,North,Gujarat,T11,Anjar
India,North,Gujarat,T11,Dhoraji
India,North,Gujarat,T11,Khambhat
India,North,Gujarat,T11,Mahuva
India,North,Gujarat,T11,Keshod
India,North,Gujarat,T11,Wadhwan
India,North,Gujarat,T11,Ankleshwar
India,North,Gujarat,T11,Savarkundla
India,North,Gujarat,T11,Kadi
India,North,Gujarat,T11,Visnagar
India,North,Gujarat,T11,Upleta
India,North,Gujarat,T11,Una
India,North,Gujarat,T11,Sidhpur
India,North,Gujarat,T11,Unjha
India,North,Gujarat,T11,Mangrol
India,North,Gujarat,T11,Viramgam
India,North,Gujarat,T11,Modasa
India,North,Gujarat,T11,Palitana
India,North,Gujarat,T11,Petlad
India,North,Gujarat,T11,Kapadvanj
India,North,Gujarat,T11,Sihor
India,North,Gujarat,T11,Wankaner
India,North,Gujarat,T11,Limbdi
India,North,Gujarat,T11,Mandvi
India,North,Gujarat,T11,Thangadh
India,North,Gujarat,T11,Vyara
India,North,Gujarat,T11,Padra
India,North,Gujarat,T11,Lunawada
India,North,Gujarat,T11,Rajpipla
India,North,Gujarat,T11,Vapi
India,North,Gujarat,T11,Umreth
India,North,Gujarat,T11,Sanand
India,North,Gujarat,T11,Rajula
India,North,Gujarat,T11,Radhanpur
India,North,Gujarat,T11,Mahemdabad
India,North,Gujarat,T11,Ranavav
India,North,Gujarat,T11,Tharad
India,North,Gujarat,T11,Mansa
India,North,Gujarat,T11,Umbergaon
India,North,Gujarat,T11,Talaja
India,North,Gujarat,T11,Vadnagar
India,North,Gujarat,T11,Manavadar
India,North,Gujarat,T11,Salaya
India,North,Gujarat,T11,Vijapur
India,North,Gujarat,T11,Pardi
India,North,Gujarat,T11,Rapar
India,North,Gujarat,T11,Songadh
India,North,Gujarat,T11,Lathi
India,North,Gujarat,T11,Adalaj
India,North,Gujarat,T11,Chhapra
India,North,Haryana,T12,Faridabad
India,North,Haryana,T12,Gurgaon
India,North,Haryana,T12,Hisar
India,North,Haryana,T12,Rohtak
India,North,Haryana,T12,Panipat
India,North,Haryana,T12,Karnal
India,North,Haryana,T12,Sonipat
India,North,Haryana,T12,Yamunanagar
India,North,Haryana,T12,Panchkula
India,North,Haryana,T12,Bhiwani
India,North,Haryana,T12,Bahadurgarh
India,North,Haryana,T12,Jind
India,North,Haryana,T12,Sirsa
India,North,Haryana,T12,Thanesar
India,North,Haryana,T12,Kaithal
India,North,Haryana,T12,Palwal
India,North,Haryana,T12,Rewari
India,North,Haryana,T12,Hansi
India,North,Haryana,T12,Narnaul
India,North,Haryana,T12,Fatehabad
India,North,Haryana,T12,Gohana
India,North,Haryana,T12,Tohana
India,North,Haryana,T12,Narwana
India,North,Haryana,T12,Mandi Dabwali
India,North,Haryana,T12,Charkhi Dadri
India,North,Haryana,T12,Shahbad
India,North,Haryana,T12,Pehowa
India,North,Haryana,T12,Samalkha
India,North,Haryana,T12,Pinjore
India,North,Haryana,T12,Ladwa
India,North,Haryana,T12,Sohna
India,North,Haryana,T12,Safidon
India,North,Haryana,T12,Taraori
India,North,Haryana,T12,Mahendragarh
India,North,Haryana,T12,Ratia
India,North,Haryana,T12,Rania
India,North,Haryana,T12,Sarsod
India,North,Himachal Pradesh,T13,Shimla
India,North,Himachal Pradesh,T13,Mandi
India,North,Himachal Pradesh,T13,Solan
India,North,Himachal Pradesh,T13,Nahan
India,North,Himachal Pradesh,T13,Sundarnagar
India,North,Himachal Pradesh,T13,Palampur
India,North,Jammu and Kashmir,T14,Srinagar
India,North,Jammu and Kashmir,T14,Jammu
India,North,Jammu and Kashmir,T14,Baramula
India,North,Jammu and Kashmir,T14,Anantnag
India,North,Jammu and Kashmir,T14,Sopore
India,North,Jammu and Kashmir,T14,KathUrban Agglomeration
India,North,Jammu and Kashmir,T14,Rajauri
India,North,Jammu and Kashmir,T14,Punch
India,North,Jammu and Kashmir,T14,Udhampur
India,North,Jharkhand,T15,Dhanbad
India,North,Jharkhand,T15,Ranchi
India,North,Jharkhand,T15,Jamshedpur
India,North,Jharkhand,T15,Bokaro Steel City
India,North,Jharkhand,T15,Deoghar
India,North,Jharkhand,T15,Phusro
India,North,Jharkhand,T15,Adityapur
India,North,Jharkhand,T15,Hazaribag
India,North,Jharkhand,T15,Giridih
India,North,Jharkhand,T15,Ramgarh
India,North,Jharkhand,T15,Jhumri Tilaiya
India,North,Jharkhand,T15,Saunda
India,North,Jharkhand,T15,Sahibganj
India,North,Jharkhand,T15,Medininagar (Daltonganj)
India,North,Jharkhand,T15,Chaibasa
India,North,Jharkhand,T15,Chatra
India,North,Jharkhand,T15,Gumia
India,North,Jharkhand,T15,Dumka
India,North,Jharkhand,T15,Madhupur
India,North,Jharkhand,T15,Chirkunda
India,North,Jharkhand,T15,Pakaur
India,North,Jharkhand,T15,Simdega
India,North,Jharkhand,T15,Musabani
India,North,Jharkhand,T15,Mihijam
India,North,Jharkhand,T15,Patratu
India,North,Jharkhand,T15,Lohardaga
India,North,Jharkhand,T15,Tenu dam-cum-Kathhara
India,North,Karnataka,T16,Bengaluru
India,North,Karnataka,T16,Hubli-Dharwad
India,North,Karnataka,T16,Belagavi
India,North,Karnataka,T16,Mangaluru
India,North,Karnataka,T16,Davanagere
India,North,Karnataka,T16,Ballari
India,North,Karnataka,T16,Tumkur
India,North,Karnataka,T16,Shivamogga
India,North,Karnataka,T16,Raayachuru
India,North,Karnataka,T16,Robertson Pet
India,North,Karnataka,T16,Kolar
India,North,Karnataka,T16,Mandya
India,North,Karnataka,T16,Udupi
India,North,Karnataka,T16,Chikkamagaluru
India,North,Karnataka,T16,Karwar
India,North,Karnataka,T16,Ranebennuru
India,North,Karnataka,T16,Ranibennur
India,North,Karnataka,T16,Ramanagaram
India,North,Karnataka,T16,Gokak
India,North,Karnataka,T16,Yadgir
India,North,Karnataka,T16,Rabkavi Banhatti
India,North,Karnataka,T16,Shahabad
India,North,Karnataka,T16,Sirsi
India,North,Karnataka,T16,Sindhnur
India,North,Karnataka,T16,Tiptur
India,North,Karnataka,T16,Arsikere
India,North,Karnataka,T16,Nanjangud
India,North,Karnataka,T16,Sagara
India,North,Karnataka,T16,Sira
India,North,Karnataka,T16,Puttur
India,North,Karnataka,T16,Athni
India,North,Karnataka,T16,Mulbagal
India,North,Karnataka,T16,Surapura
India,North,Karnataka,T16,Siruguppa
India,North,Karnataka,T16,Mudhol
India,North,Karnataka,T16,Sidlaghatta
India,North,Karnataka,T16,Shahpur
India,North,Karnataka,T16,Saundatti-Yellamma
India,North,Karnataka,T16,Wadi
India,North,Karnataka,T16,Manvi
India,North,Karnataka,T16,Nelamangala
India,North,Karnataka,T16,Lakshmeshwar
India,North,Karnataka,T16,Ramdurg
India,North,Karnataka,T16,Nargund
India,North,Karnataka,T16,Tarikere
India,North,Karnataka,T16,Malavalli
India,North,Karnataka,T16,Savanur
